,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
that節_英語構文辞典,0.9249999999999999,0.8369098712446351,0.8831168831168831,0.8483348334833484,0.927906976744186,0.6816990036706869,0.853322528363047,0.5891805034815212,0.8622707764338665,0.5856481481481481
tough 構文_英語構文辞典,0.7422879177377892,0.6906474820143884,0.7541199736321688,0.72477693891558,0.7289979171488082,0.5643631436314364,0.7228371357578496,0.5269761606022584,0.7121119902617163,0.47630238934586755
ニ重目的語構文_英語構文辞典,0.7992733878292462,0.7535321821036106,0.8093385214007783,0.7474972191323693,0.8459363957597172,0.6859542697153523,0.7654485049833887,0.5833333333333334,0.8387096774193548,0.596537949400799
不定詞節_英語構文辞典,0.9158249158249158,0.8730158730158729,0.9025641025641026,0.8953488372093024,0.816451810926949,0.7339449541284404,0.8571428571428571,0.6933333333333334,0.8148148148148148,0.5833333333333334
中間態_英語構文辞典,0.7734806629834255,0.7547169811320754,0.829030006978367,0.829030006978367,0.8100810081008101,0.6287671232876714,0.7890961262553803,0.5744125326370758,0.7872340425531915,0.6005747126436782
主語・補語倒置_英語構文辞典,0.8665906499429875,0.7816091954022988,0.8392993145468393,0.7235621521335807,0.8259940145361265,0.5468354430379748,0.7962085308056872,0.5809859154929577,0.8160000000000001,0.4651162790697674
二次述語_英語構文辞典,0.6890181320561068,0.625,0.6949806949806949,0.5970149253731343,0.8141962421711899,0.49572649572649574,0.8332756831546178,0.39877300613496924,0.8235294117647058,0.3324099722991689
付加疑問文_英語構文辞典,0.9010989010989012,0.8943596135867872,0.9171052631578948,0.8640533778148457,0.9108910891089108,0.7067075843928102,0.9096313912009513,0.6536180308422302,0.9,0.39848197343453506
代名詞・再帰代名詞_英語構文辞典,0.9155485398579322,0.8212560386473431,0.845890410958904,0.794701986754967,0.8235294117647058,0.6255924170616113,0.721030042918455,0.6038135593220338,0.8070175438596492,0.5668016194331983
仮定法_英語構文辞典,0.7768525052928723,0.7090969676774409,0.7322033898305085,0.7158308751229104,0.7694700819247121,0.5889823236656941,0.7461346633416458,0.521429982223978,0.7236842105263158,0.4012849023968372
使役動詞_英語構文辞典,0.7207207207207208,0.6450712091594527,0.6782149148561362,0.6231518211323477,0.7813446396123561,0.5223264540337711,0.7582738481505517,0.387243735763098,0.8133333333333332,0.44178794178794173
分詞構文_英語構文辞典,0.9034738431964849,0.8732802317161477,0.8596620132255695,0.8440563179468901,0.8546667994820201,0.6790243902439024,0.8036396724294814,0.40256536753823385,0.8350125944584383,0.44205008736167734
副詞_英語構文辞典,0.8534442903374942,0.7077346978941154,0.7969754253308128,0.7301980198019802,0.8192048012003,0.5700325732899023,0.7643936300530829,0.5486762559933293,0.7851440472058313,0.48792154986845254
副詞節_英語構文辞典,0.808859110366648,0.7354260089686099,0.7354260089686099,0.7022732288677996,0.7706422018348624,0.5447637140821658,0.7100591715976331,0.4073748902546092,0.7337249730248172,0.3530434782608695
助動詞・法助動詞_英語構文辞典,0.9253050824728443,0.8870581186339125,0.8446069469835467,0.8221343873517787,0.9123795082854976,0.7839129718147354,0.9297297297297298,0.6619078520441272,0.9206349206349206,0.6778816199376946
動名詞節_英語構文辞典,0.8329519450800916,0.7727771679473106,0.8558139534883721,0.7878453038674033,0.8380952380952381,0.5519999999999999,0.8112379280070237,0.46544181977252846,0.823678219074121,0.3962264150943396
受動態_英語構文辞典,0.8836158192090395,0.8263473053892216,0.8328358208955223,0.8009748172217709,0.879177377892031,0.6506849315068494,0.857142857142857,0.6220095693779905,0.8478260869565216,0.5661764705882354
叙実動詞_英語構文辞典,0.8994240141781125,0.8936825885978428,0.8672019765287214,0.8672019765287214,0.9400000000000001,0.761904761904762,0.8853118712273642,0.6704225352112677,0.9272727272727274,0.6636500754147813
句・節の構造_英語構文辞典,0.8528225806451613,0.6391982182628061,0.7872763419483102,0.6176470588235294,0.7655398037077425,0.36501901140684406,0.7544041450777201,0.3225806451612902,0.7341772151898733,0.2721774193548387
句動詞_英語構文辞典,0.7306273062730628,0.7142857142857143,0.7574750830564785,0.6903553299492386,0.9392789373814042,0.6315789473684211,0.9473684210526316,0.588235294117647,0.9523809523809524,0.4956896551724138
同族目的語_英語構文辞典,0.8321038654470344,0.8183776022972002,0.7973523421588595,0.7923250564334084,0.8674698795180723,0.6463062319438712,0.8266315095583388,0.6015625,0.8391608391608391,0.5219454329774614
否定倒置_英語構文辞典,0.7540698396918105,0.6836964688204358,0.7120418848167539,0.6320541760722348,0.7166172106824926,0.4882629107981221,0.7351841964762413,0.3939679547596606,0.7555555555555554,0.3411619283065513
否定文_英語構文辞典,0.8007736943907158,0.7617896009673519,0.8181818181818182,0.8103294746215495,0.8014391724758264,0.6364883401920438,0.8269230769230769,0.596103896103896,0.8075553157042634,0.5722917565817869
命令文_英語構文辞典,0.8191833015820426,0.7541756730202398,0.7450819672131147,0.7315233785822021,0.8368421052631579,0.6086689209960038,0.8428889734253574,0.5708705357142858,0.8409785932721713,0.5178571428571429
場所句倒置_英語構文辞典,0.7624732170186715,0.6923076923076923,0.6923076923076923,0.6342015855039638,0.7521082565208864,0.41961414790996776,0.7751282282012057,0.33099936346276254,0.8050314465408805,0.23231571109456436
場所格交替動詞_英語構文辞典,0.871330313705754,0.819477434679335,0.8802968170279243,0.8392973324658426,0.8742411101474415,0.6887627695800227,0.8747514910536779,0.639344262295082,0.8705989940557842,0.6910126910126909
外置構文_英語構文辞典,0.7377561653351858,0.5989304812834225,0.6470435009116958,0.5850763143018655,0.8085305835481602,0.48220689655172416,0.7515789473684211,0.3329886246122027,0.7853403141361257,0.31079717457114026
多重wh疑問文_英語構文辞典,0.7682088868529547,0.6341463414634146,0.7114537444933919,0.4968944099378882,0.7926140698916526,0.5533596837944663,0.8106235565819863,0.4696016771488469,0.8593750000000001,0.38567493112947654
存在構文_英語構文辞典,0.8021108179419524,0.7484276729559749,0.6975501113585746,0.65,0.8376690946930281,0.6041308089500861,0.8571428571428573,0.5278944211157768,0.8585655008891524,0.4942440521872602
寄生空所_英語構文辞典,0.702755905511811,0.6366174710809733,0.6146301593788313,0.5579710144927535,0.7744807121661721,0.4406779661016949,0.8027075452916583,0.3157894736842105,0.7831963470319635,0.31372549019607837
小節_英語構文辞典,0.7619905426705698,0.6266490765171504,0.558288770053476,0.5119863013698629,0.7490952955367913,0.4638386648122391,0.7324460761817346,0.38888888888888884,0.7653061224489797,0.32407407407407407
属格化_英語構文辞典,0.5863874345549738,0.5129310344827587,0.7346938775510203,0.6804389928986443,0.7619047619047619,0.3983402489626555,0.765625,0.3052527254707631,0.7558351938299168,0.22304832713754644
強調構文_英語構文辞典,0.7635239567233385,0.6887661141804788,0.726698262243286,0.7201565557729942,0.8386277001270649,0.6208695652173913,0.8571428571428572,0.4789473684210526,0.8956924172303311,0.5590062111801241
心理動詞_英語構文辞典,0.6668460710441334,0.6010928961748635,0.6299632966299632,0.5535585909417686,0.7014899211218231,0.4500540930400288,0.7198986058301647,0.3361344537815126,0.7040594979857453,0.3405865657521287
感嘆文_英語構文辞典,0.6183889340927584,0.5489236790606653,0.5536912751677853,0.47889322454771194,0.6976744186046512,0.3798561151079136,0.6799534477742217,0.34398034398034394,0.6944372574385512,0.28481675392670147
成句_英語構文辞典,0.61134163208852,0.594876660341556,0.5304640912626393,0.5304640912626393,0.8024275118004046,0.5254515599343186,0.8249456127628716,0.49438202247191015,0.8108108108108109,0.35000000000000003
挿入節_英語構文辞典,0.7545750814740536,0.710099573257468,0.7491785323110624,0.6718591263122248,0.7608482871125611,0.5047021943573667,0.7012987012987012,0.31849135673127293,0.7096774193548387,0.26666666666666666
擬似分裂文_英語構文辞典,0.8520772691188145,0.8513812154696133,0.7499999999999999,0.7234042553191489,0.9249011857707511,0.7456021650879567,0.8925373134328359,0.5621621621621622,0.9512195121951219,0.5907928388746804
数量詞の作用域_英語構文辞典,0.6788685524126457,0.6131386861313869,0.7311827956989247,0.6975792703716331,0.7328244274809159,0.4316996871741397,0.7259259259259259,0.38725195429945874,0.7153284671532847,0.297029702970297
