,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
受動態_英語構文辞典,1.0,0.9375,1.0,0.9666666666666667,0.8837209302325582,0.78125,0.78,0.6944444444444444,0.7647058823529411,0.6470588235294118
中間態_英語構文辞典,0.6774193548387096,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.5952380952380952,0.4594594594594595,0.5813953488372093,0.45454545454545453,0.5625,0.475
tough 構文_英語構文辞典,0.8870967741935484,0.8421052631578947,0.9122807017543859,0.9056603773584906,0.8289473684210527,0.6901408450704225,0.7191011235955056,0.6268656716417911,0.7222222222222222,0.5614035087719298
ニ重目的語構文_英語構文辞典,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.875,0.7037037037037037,0.625,0.75,0.6666666666666666,0.6875,0.5833333333333334
同族目的語_英語構文辞典,0.7692307692307693,0.7692307692307693,0.84375,0.84375,0.72,0.627906976744186,0.6875,0.5945945945945946,0.6491228070175439,0.5238095238095238
存在構文_英語構文辞典,0.8636363636363636,0.8292682926829268,0.8529411764705882,0.8125,0.7540983606557377,0.574468085106383,0.7058823529411765,0.5238095238095238,0.6891891891891891,0.5
場所句倒置_英語構文辞典,0.8983050847457628,0.8333333333333334,0.8490566037735849,0.8163265306122449,0.7558139534883721,0.4915254237288136,0.73,0.4166666666666667,0.7,0.26666666666666666
否定倒置_英語構文辞典,0.9111111111111111,0.8974358974358975,0.9444444444444444,0.9333333333333333,0.8363636363636363,0.7428571428571429,0.85,0.6785714285714286,0.8333333333333334,0.5769230769230769
主語・補語倒置_英語構文辞典,0.8695652173913043,0.8095238095238095,0.8260869565217391,0.7894736842105263,0.7,0.5454545454545454,0.65625,0.5769230769230769,0.6764705882352942,0.47619047619047616
命令文_英語構文辞典,0.6825396825396826,0.6440677966101694,0.7058823529411765,0.7,0.6309523809523809,0.4925373134328358,0.6111111111111112,0.4852941176470588,0.5670103092783505,0.4084507042253521
感嘆文_英語構文辞典,0.8125,0.7741935483870968,0.9245283018867925,0.9111111111111111,0.7840909090909091,0.6551724137931034,0.788235294117647,0.64,0.7752808988764045,0.5918367346938775
疑問文_英語構文辞典,0.9215686274509803,0.9,0.9,0.8809523809523809,0.7534246575342466,0.631578947368421,0.7441860465116279,0.5964912280701754,0.723404255319149,0.46938775510204084
多重wh疑問文_英語構文辞典,0.8125,0.6444444444444445,0.8095238095238095,0.7142857142857143,0.7,0.5185185185185185,0.6582278481012658,0.509090909090909,0.651685393258427,0.39215686274509803
付加疑問文_英語構文辞典,0.8541666666666666,0.82,0.82,0.8043478260869565,0.6666666666666666,0.5535714285714286,0.6,0.4915254237288136,0.5844155844155844,0.30434782608695654
否定文_英語構文辞典,0.9078947368421053,0.8873239436619719,0.9041095890410958,0.9027777777777778,0.8526315789473684,0.7945205479452054,0.8686868686868687,0.796875,0.8529411764705882,0.7727272727272727
強調構文_英語構文辞典,0.896551724137931,0.8461538461538461,0.92,0.92,0.7333333333333333,0.6,0.717391304347826,0.5185185185185185,0.7115384615384616,0.5454545454545454
擬似分裂文_英語構文辞典,0.92,0.92,0.9,0.8947368421052632,0.8181818181818182,0.6785714285714286,0.7647058823529411,0.6190476190476191,0.75,0.5833333333333334
繰上げ構文_英語構文辞典,0.9210526315789473,0.9090909090909091,0.9642857142857143,0.9642857142857143,0.8867924528301887,0.8,0.8627450980392157,0.7083333333333334,0.864406779661017,0.7333333333333333
話題化_英語構文辞典,0.9,0.5833333333333334,0.8181818181818182,0.5384615384615384,0.65,0.2727272727272727,0.6190476190476191,0.23809523809523808,0.58,0.19230769230769232
転位構文_英語構文辞典,0.8461538461538461,0.8333333333333334,0.8571428571428571,0.8,0.9,0.7692307692307693,0.9310344827586207,0.7142857142857143,0.9090909090909091,0.625
小節_英語構文辞典,0.8545454545454545,0.8260869565217391,0.8787878787878788,0.8666666666666667,0.782608695652174,0.58,0.7702702702702703,0.6086956521739131,0.7228915662650602,0.46511627906976744
that節_英語構文辞典,0.7628865979381443,0.7386363636363636,0.8395061728395061,0.8333333333333334,0.6268656716417911,0.5048543689320388,0.6090225563909775,0.4583333333333333,0.6071428571428571,0.45544554455445546
間接疑問文_英語構文辞典,0.8181818181818182,0.813953488372093,0.9,0.8974358974358975,0.7096774193548387,0.6153846153846154,0.7166666666666667,0.6136363636363636,0.6825396825396826,0.5652173913043478
関係節_英語構文辞典,0.8778625954198473,0.8487394957983193,0.8859649122807017,0.8818181818181818,0.75,0.6293706293706294,0.7382198952879581,0.5535714285714286,0.7352941176470589,0.5178571428571429
比較構文_英語構文辞典,0.8545454545454545,0.8490566037735849,0.8490566037735849,0.813953488372093,0.6781609195402298,0.47368421052631576,0.6555555555555556,0.45614035087719296,0.6736842105263158,0.45614035087719296
副詞節_英語構文辞典,0.8833333333333333,0.8518518518518519,0.9019607843137255,0.8958333333333334,0.7875,0.6607142857142857,0.8,0.6,0.7816091954022989,0.6041666666666666
譲歩節_英語構文辞典,0.7564102564102564,0.7466666666666667,0.8070175438596491,0.8035714285714286,0.7211538461538461,0.5066666666666667,0.68,0.4107142857142857,0.646551724137931,0.3492063492063492
挿入節_英語構文辞典,0.8958333333333334,0.8666666666666667,0.9047619047619048,0.8888888888888888,0.7464788732394366,0.6481481481481481,0.7397260273972602,0.45714285714285713,0.7534246575342466,0.4375
仮定法_英語構文辞典,0.8888888888888888,0.875,0.9310344827586207,0.9285714285714286,0.7954545454545454,0.7222222222222222,0.8,0.7017543859649122,0.7634408602150538,0.56
等位構造_英語構文辞典,0.7846153846153846,0.711864406779661,0.8392857142857143,0.8148148148148148,0.6923076923076923,0.5,0.6847826086956522,0.4528301886792453,0.6568627450980392,0.4444444444444444
外置構文_英語構文辞典,0.7659574468085106,0.6410256410256411,0.6923076923076923,0.6571428571428571,0.6571428571428571,0.46,0.6086956521739131,0.34146341463414637,0.6329113924050633,0.32558139534883723
重名詞句転位_英語構文辞典,0.7777777777777778,0.68,0.8181818181818182,0.7727272727272727,0.64,0.45714285714285713,0.6363636363636364,0.34375,0.6229508196721312,0.30303030303030304
二次述語_英語構文辞典,0.8636363636363636,0.85,0.9090909090909091,0.8888888888888888,0.8108108108108109,0.7083333333333334,0.8461538461538461,0.6842105263157895,0.8292682926829268,0.6818181818181818
寄生空所_英語構文辞典,0.5675675675675675,0.5,0.5161290322580645,0.4375,0.5576923076923077,0.34210526315789475,0.5714285714285714,0.24242424242424243,0.5517241379310345,0.23529411764705882
省略文_英語構文辞典,0.59375,0.5666666666666667,0.5769230769230769,0.5319148936170213,0.5454545454545454,0.3728813559322034,0.5394736842105263,0.3684210526315789,0.5365853658536586,0.2962962962962963
不定詞節_英語構文辞典,0.8947368421052632,0.868421052631579,0.9428571428571428,0.9428571428571428,0.7954545454545454,0.7111111111111111,0.7346938775510204,0.6666666666666666,0.7058823529411765,0.5833333333333334
動名詞節_英語構文辞典,0.7291666666666666,0.7111111111111111,0.8181818181818182,0.7948717948717948,0.6285714285714286,0.41818181818181815,0.5454545454545454,0.35185185185185186,0.55,0.28
分詞構文_英語構文辞典,0.958904109589041,0.9571428571428572,1.0,1.0,0.9512195121951219,0.90625,0.92,0.8,0.9069767441860465,0.8048780487804879
属格化_英語構文辞典,0.5217391304347826,0.4772727272727273,0.576271186440678,0.5535714285714286,0.5783132530120482,0.32142857142857145,0.5697674418604651,0.27450980392156865,0.5568181818181818,0.1875
能格動詞・非対格動詞・非能格動詞_英語構文辞典,0.3082191780821918,0.2937062937062937,0.34306569343065696,0.3333333333333333,0.35195530726256985,0.2621951219512195,0.34972677595628415,0.2119205298013245,0.34574468085106386,0.18
知覚動詞_英語構文辞典,0.7368421052631579,0.7297297297297297,0.7432432432432432,0.7361111111111112,0.6333333333333333,0.5930232558139535,0.6333333333333333,0.5342465753424658,0.5978260869565217,0.4714285714285714
使役動詞_英語構文辞典,0.6349206349206349,0.5932203389830508,0.6730769230769231,0.6274509803921569,0.5657894736842105,0.4461538461538462,0.5616438356164384,0.3469387755102041,0.5662650602409639,0.4098360655737705
