,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
that節_英語構文辞典,0.8604651162790697,0.7558139534883721,0.7906976744186046,0.7558139534883721,0.9767441860465116,0.6046511627906976,0.9418604651162791,0.5116279069767442,0.9883720930232558,0.5348837209302325
tough 構文_英語構文辞典,0.8208955223880597,0.7164179104477612,0.7761194029850746,0.7164179104477612,0.9402985074626866,0.7313432835820896,0.9552238805970149,0.6268656716417911,0.9701492537313433,0.47761194029850745
ニ重目的語構文_英語構文辞典,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.6363636363636364,0.8636363636363636,0.6818181818181818,0.8181818181818182,0.5454545454545454,1.0,0.6363636363636364
不定詞節_英語構文辞典,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9722222222222222,0.8888888888888888,1.0,0.7222222222222222,1.0,0.5833333333333334
中間態_英語構文辞典,0.7777777777777778,0.7407407407407407,0.8148148148148148,0.8148148148148148,0.9259259259259259,0.6296296296296297,0.9259259259259259,0.5555555555555556,1.0,0.7037037037037037
主語・補語倒置_英語構文辞典,0.8695652173913043,0.7391304347826086,0.8260869565217391,0.6521739130434783,0.9130434782608695,0.5217391304347826,0.9130434782608695,0.6521739130434783,1.0,0.43478260869565216
二次述語_英語構文辞典,0.5588235294117647,0.5,0.5882352941176471,0.47058823529411764,0.8823529411764706,0.5,0.9705882352941176,0.38235294117647056,1.0,0.4411764705882353
付加疑問文_英語構文辞典,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8043478260869565,1.0,0.6739130434782609,0.9782608695652174,0.6304347826086957,0.9782608695652174,0.30434782608695654
代名詞・再帰代名詞_英語構文辞典,0.9666666666666667,0.8333333333333334,0.8666666666666667,0.8,1.0,0.7333333333333333,0.8,0.6333333333333333,1.0,0.7
仮定法_英語構文辞典,0.9014084507042254,0.7887323943661971,0.7605633802816901,0.7323943661971831,0.9859154929577465,0.7323943661971831,0.9577464788732394,0.5633802816901409,1.0,0.39436619718309857
使役動詞_英語構文辞典,0.851063829787234,0.7446808510638298,0.7446808510638298,0.6808510638297872,0.9148936170212766,0.6170212765957447,0.8723404255319149,0.3617021276595745,1.0,0.5319148936170213
分詞構文_英語構文辞典,0.8860759493670886,0.8481012658227848,0.8227848101265823,0.810126582278481,0.9873417721518988,0.7341772151898734,0.8734177215189873,0.3037974683544304,0.9873417721518988,0.4177215189873418
副詞_英語構文辞典,0.8987341772151899,0.7848101265822784,0.7848101265822784,0.7468354430379747,0.9873417721518988,0.6329113924050633,0.9113924050632911,0.5949367088607594,0.9873417721518988,0.6455696202531646
副詞節_英語構文辞典,0.7681159420289855,0.6666666666666666,0.6666666666666666,0.6231884057971014,0.9130434782608695,0.5362318840579711,0.8695652173913043,0.34782608695652173,0.9855072463768116,0.42028985507246375
助動詞・法助動詞_英語構文辞典,0.9433962264150944,0.8867924528301887,0.7924528301886793,0.7547169811320755,0.9811320754716981,0.7735849056603774,1.0,0.5660377358490566,1.0,0.6037735849056604
動名詞節_英語構文辞典,0.7777777777777778,0.7111111111111111,0.8,0.6888888888888889,0.9777777777777777,0.5111111111111111,0.9333333333333333,0.4222222222222222,0.9777777777777777,0.3111111111111111
受動態_英語構文辞典,0.85,0.75,0.775,0.725,0.95,0.625,0.975,0.625,0.975,0.55
叙実動詞_英語構文辞典,0.8787878787878788,0.8787878787878788,0.7878787878787878,0.7878787878787878,1.0,0.7272727272727273,0.9090909090909091,0.6363636363636364,1.0,0.6060606060606061
句・節の構造_英語構文辞典,0.8103448275862069,0.7068965517241379,0.7586206896551724,0.7241379310344828,0.9310344827586207,0.5517241379310345,0.9655172413793104,0.5,1.0,0.46551724137931033
句動詞_英語構文辞典,0.6428571428571429,0.625,0.6785714285714286,0.6071428571428571,0.9821428571428571,0.5357142857142857,0.9642857142857143,0.5,1.0,0.4107142857142857
同族目的語_英語構文辞典,0.8108108108108109,0.8108108108108109,0.7297297297297297,0.7297297297297297,0.972972972972973,0.7297297297297297,0.8918918918918919,0.5945945945945946,1.0,0.5945945945945946
否定倒置_英語構文辞典,0.7454545454545455,0.6363636363636364,0.6181818181818182,0.509090909090909,0.8363636363636363,0.4727272727272727,0.9272727272727272,0.34545454545454546,1.0,0.2727272727272727
否定文_英語構文辞典,0.7840909090909091,0.7159090909090909,0.75,0.7386363636363636,0.9204545454545454,0.6590909090909091,0.9772727272727273,0.5795454545454546,0.9886363636363636,0.5795454545454546
命令文_英語構文辞典,0.7678571428571429,0.6785714285714286,0.6428571428571429,0.625,0.9464285714285714,0.5892857142857143,0.9821428571428571,0.5892857142857143,0.9821428571428571,0.5178571428571429
場所句倒置_英語構文辞典,0.6883116883116883,0.5844155844155844,0.5844155844155844,0.5194805194805194,0.8441558441558441,0.37662337662337664,0.948051948051948,0.2597402597402597,1.0,0.15584415584415584
場所格交替動詞_英語構文辞典,0.8596491228070176,0.7894736842105263,0.8596491228070176,0.7894736842105263,0.9824561403508771,0.7192982456140351,0.9649122807017544,0.6842105263157895,0.9824561403508771,0.8070175438596491
外置構文_英語構文辞典,0.72,0.5,0.54,0.46,0.92,0.46,0.84,0.28,1.0,0.28
多重wh疑問文_英語構文辞典,0.6724137931034483,0.5,0.5862068965517241,0.3448275862068966,0.8448275862068966,0.4827586206896552,0.896551724137931,0.4827586206896552,1.0,0.3448275862068966
存在構文_英語構文辞典,0.7307692307692307,0.6538461538461539,0.5576923076923077,0.5,0.8846153846153846,0.5192307692307693,0.9230769230769231,0.4230769230769231,0.9807692307692307,0.4423076923076923
寄生空所_英語構文辞典,0.6363636363636364,0.5757575757575758,0.48484848484848486,0.42424242424242425,0.8787878787878788,0.3939393939393939,0.9696969696969697,0.24242424242424243,0.9696969696969697,0.24242424242424243
小節_英語構文辞典,0.7580645161290323,0.6129032258064516,0.46774193548387094,0.41935483870967744,0.8709677419354839,0.46774193548387094,0.9193548387096774,0.45161290322580644,0.967741935483871,0.3225806451612903
属格化_英語構文辞典,0.47058823529411764,0.4117647058823529,0.6666666666666666,0.6078431372549019,0.9411764705882353,0.35294117647058826,0.9607843137254902,0.27450980392156865,0.9607843137254902,0.17647058823529413
強調構文_英語構文辞典,0.6842105263157895,0.5789473684210527,0.6052631578947368,0.6052631578947368,0.868421052631579,0.5526315789473685,0.868421052631579,0.3684210526315789,0.9736842105263158,0.47368421052631576
心理動詞_英語構文辞典,0.8082191780821918,0.7534246575342466,0.8082191780821918,0.7534246575342466,0.9452054794520548,0.6575342465753424,0.9726027397260274,0.547945205479452,0.9726027397260274,0.6164383561643836
感嘆文_英語構文辞典,0.6451612903225806,0.532258064516129,0.532258064516129,0.43548387096774194,0.967741935483871,0.3870967741935484,0.9193548387096774,0.3225806451612903,0.9838709677419355,0.27419354838709675
成句_英語構文辞典,0.4642857142857143,0.4523809523809524,0.36904761904761907,0.36904761904761907,0.8095238095238095,0.4166666666666667,0.9404761904761905,0.39285714285714285,0.9523809523809523,0.25
挿入節_英語構文辞典,0.7818181818181819,0.7090909090909091,0.6909090909090909,0.5818181818181818,0.9636363636363636,0.6363636363636364,0.9818181818181818,0.2909090909090909,1.0,0.2545454545454545
擬似分裂文_英語構文辞典,0.7666666666666667,0.7666666666666667,0.6,0.5666666666666667,0.9,0.6333333333333333,0.8666666666666667,0.43333333333333335,1.0,0.4666666666666667
数量詞の作用域_英語構文辞典,0.9714285714285714,0.8571428571428571,1.0,0.9428571428571428,1.0,0.6571428571428571,1.0,0.6571428571428571,1.0,0.7142857142857143
数量詞遊離_英語構文辞典,0.7560975609756098,0.6585365853658537,0.6829268292682927,0.5975609756097561,0.9878048780487805,0.5365853658536586,0.9634146341463414,0.4146341463414634,0.9878048780487805,0.4268292682926829
比較構文_英語構文辞典,0.734375,0.703125,0.703125,0.546875,0.921875,0.421875,0.921875,0.40625,1.0,0.40625
準助動詞_英語構文辞典,0.9629629629629629,0.8703703703703703,0.9259259259259259,0.8518518518518519,1.0,0.7962962962962963,0.9814814814814815,0.7407407407407407,1.0,0.6851851851851852
