,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
that節_英語構文辞典,0.6464646464646467,0.5925925925925928,0.7304347826086958,0.7118644067796611,0.16129032258064518,0.08602150537634408,0.0952380952380953,0.06000000000000002,0.0,0.0
tough 構文_英語構文辞典,0.6666666666666667,0.5483870967741937,0.6774193548387097,0.6363636363636365,0.6046511627906976,0.16666666666666674,0.06666666666666672,0.03846153846153845,0.06896551724137936,0.03225806451612899
ニ重目的語構文_英語構文辞典,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6153846153846154,0.26666666666666666,0.11111111111111112,0.4444444444444445,0.3333333333333333,0.0,0.0
不定詞節_英語構文辞典,0.7857142857142855,0.7142857142857145,0.838709677419355,0.838709677419355,0.5454545454545455,0.1904761904761901,0.2352941176470583,0.14814814814814792,0.0,0.0
中間態_英語構文辞典,0.5789473684210528,0.5641025641025642,0.6666666666666666,0.6666666666666666,0.29629629629629567,0.062499999999999986,0.23076923076923092,0.16666666666666677,0.0,0.0
主語・補語倒置_英語構文辞典,0.7272727272727272,0.5833333333333334,0.6363636363636365,0.5384615384615384,0.26666666666666666,0.08695652173913042,0.0,0.0,0.0,0.0
二次述語_英語構文辞典,0.3076923076923077,0.28571428571428575,0.3846153846153846,0.33333333333333326,0.0,0.0,0.22222222222222252,0.06896551724137931,0.0,0.0
付加疑問文_英語構文辞典,0.8064516129032259,0.7666666666666667,0.7666666666666667,0.7187500000000001,0.4390243902439021,0.25925925925925913,0.11428571428571435,0.07843137254901965,0.0,0.0
代名詞・再帰代名詞_英語構文辞典,0.0,0.0,0.15999999999999995,0.0769230769230768,0.0,0.0,0.0,0.0,0.0,0.0
仮定法_英語構文辞典,0.6666666666666666,0.5660377358490565,0.6440677966101694,0.6229508196721311,0.34482758620689646,0.1333333333333335,0.3749999999999997,0.19999999999999987,0.0833333333333333,0.02985074626865669
使役動詞_英語構文辞典,0.4827586206896549,0.4193548387096772,0.5797101449275366,0.5142857142857145,0.17777777777777765,0.035714285714285685,0.20833333333333318,0.13888888888888878,0.05263157894736837,0.03333333333333331
分詞構文_英語構文辞典,0.45454545454545453,0.3999999999999999,0.5333333333333333,0.5161290322580644,0.6153846153846154,0.1290322580645161,0.19999999999999993,0.061538461538461514,0.0,0.0
副詞_英語構文辞典,0.5346534653465344,0.4909090909090907,0.6504065040650404,0.6349206349206348,0.02941176470588238,0.02083333333333334,0.0789473684210527,0.040000000000000015,0.02941176470588238,0.02105263157894738
副詞節_英語構文辞典,0.5106382978723405,0.41509433962264153,0.5000000000000001,0.4745762711864407,0.14814814814814803,0.0,0.24999999999999983,0.08955223880597012,0.0,0.0
助動詞・法助動詞_英語構文辞典,0.7000000000000001,0.6086956521739131,0.5517241379310346,0.5161290322580644,0.16666666666666652,0.08695652173913036,0.0,0.0,0.0,0.0
動名詞節_英語構文辞典,0.6666666666666666,0.638888888888889,0.7671232876712331,0.717948717948718,0.42553191489361725,0.12903225806451604,0.05000000000000004,0.03174603174603175,0.0,0.0
受動態_英語構文辞典,0.8,0.6249999999999999,0.7272727272727273,0.6470588235294118,0.6666666666666665,0.3125000000000001,0.14285714285714282,0.07142857142857141,0.0,0.0
叙実動詞_英語構文辞典,0.5789473684210527,0.5405405405405405,0.6956521739130435,0.6956521739130435,0.16000000000000003,0.060606060606060594,0.07407407407407407,0.05555555555555556,0.0,0.0
句・節の構造_英語構文辞典,0.4999999999999999,0.36363636363636365,0.4516129032258064,0.375,0.25,0.0,0.15384615384615385,0.05,0.0,0.0
句動詞_英語構文辞典,0.6399999999999999,0.631578947368421,0.6575342465753424,0.6233766233766234,0.27027027027027073,0.09999999999999995,0.1666666666666665,0.096774193548387,0.06249999999999997,0.030769230769230747
同族目的語_英語構文辞典,0.5789473684210527,0.5789473684210527,0.6666666666666665,0.6666666666666665,0.4444444444444444,0.23529411764705882,0.3448275862068966,0.25,0.0,0.0
否定倒置_英語構文辞典,0.4374999999999999,0.3684210526315788,0.43902439024390244,0.3829787234042553,0.1818181818181819,0.09523809523809518,0.23529411764705896,0.08163265306122448,0.0,0.0
否定文_英語構文辞典,0.409090909090909,0.3265306122448979,0.38297872340425526,0.37499999999999994,0.16000000000000003,0.042553191489361646,0.28571428571428586,0.10714285714285715,0.11111111111111108,0.03703703703703701
命令文_英語構文辞典,0.5714285714285717,0.5185185185185188,0.606741573033708,0.6000000000000001,0.3928571428571426,0.2191780821917807,0.27999999999999975,0.1944444444444443,0.0,0.0
場所句倒置_英語構文辞典,0.6428571428571428,0.5393258426966291,0.5555555555555557,0.5106382978723403,0.4210526315789476,0.07142857142857142,0.2790697674418607,0.10526315789473688,0.0,0.0
場所格交替動詞_英語構文辞典,0.10526315789473685,0.08695652173913042,0.43478260869565216,0.37037037037037035,0.0,0.0,0.0,0.0,0.16666666666666669,0.09090909090909088
外置構文_英語構文辞典,0.5901639344262295,0.43478260869565216,0.49275362318840576,0.4657534246575342,0.2631578947368421,0.0689655172413793,0.10256410256410255,0.05970149253731343,0.0,0.0
多重wh疑問文_英語構文辞典,0.611111111111111,0.4,0.5897435897435899,0.5,0.39999999999999974,0.15151515151515166,0.19512195121951184,0.12307692307692289,0.0,0.0
存在構文_英語構文辞典,0.6296296296296298,0.5614035087719299,0.5625,0.5151515151515151,0.4324324324324327,0.11764705882352952,0.2000000000000004,0.10714285714285726,0.0,0.0
寄生空所_英語構文辞典,0.4166666666666666,0.2978723404255319,0.4074074074074075,0.3018867924528301,0.18181818181818163,0.04255319148936169,0.13793103448275876,0.03846153846153846,0.0,0.0
小節_英語構文辞典,0.5660377358490565,0.48387096774193533,0.5066666666666666,0.4871794871794871,0.41025641025641024,0.0689655172413793,0.3529411764705882,0.1612903225806451,0.0,0.0
属格化_英語構文辞典,0.40963855421686746,0.37647058823529406,0.4,0.3835616438356165,0.17391304347826084,0.02739726027397251,0.09302325581395346,0.05128205128205123,0.0,0.0
強調構文_英語構文辞典,0.6153846153846154,0.5238095238095237,0.6046511627906977,0.6046511627906977,0.26086956521739135,0.06060606060606058,0.1818181818181815,0.09756097560975599,0.0,0.0
心理動詞_英語構文辞典,0.655737704918033,0.5714285714285715,0.7384615384615384,0.6956521739130433,0.17647058823529393,0.037735849056603724,0.3428571428571426,0.1818181818181817,0.06666666666666661,0.03571428571428567
感嘆文_英語構文辞典,0.3404255319148936,0.2448979591836734,0.5517241379310344,0.48484848484848475,0.08695652173913045,0.0,0.15384615384615383,0.06557377049180324,0.0,0.0
成句_英語構文辞典,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
挿入節_英語構文辞典,0.6222222222222223,0.5416666666666669,0.588235294117647,0.5263157894736841,0.09090909090909087,0.0,0.0,0.0,0.09999999999999996,0.03278688524590163
擬似分裂文_英語構文辞典,0.64,0.64,0.5333333333333333,0.5161290322580644,0.47058823529411764,0.09090909090909088,0.25,0.13793103448275856,0.0,0.0
数量詞の作用域_英語構文辞典,0.22222222222222238,0.15384615384615388,0.44444444444444475,0.3636363636363638,0.25000000000000017,0.1,0.25000000000000017,0.1,0.25000000000000017,0.0
数量詞遊離_英語構文辞典,0.6346153846153846,0.5892857142857142,0.7272727272727273,0.6875,0.23728813559322035,0.0,0.25806451612903225,0.14953271028037382,0.0,0.0
比較構文_英語構文辞典,0.6753246753246754,0.6582278481012659,0.6582278481012659,0.5842696629213483,0.26666666666666683,0.10666666666666656,0.14285714285714285,0.07999999999999997,0.16216216216216214,0.07999999999999997
準助動詞_英語構文辞典,0.5625000000000002,0.4444444444444442,0.717948717948718,0.6511627906976744,0.09090909090909087,0.06060606060606059,0.37037037037037024,0.2499999999999999,0.0,0.0
疑問文_英語構文辞典,0.6376811594202898,0.6000000000000001,0.6000000000000001,0.5384615384615384,0.3404255319148938,0.15873015873015858,0.23529411764705901,0.09523809523809507,0.0,0.0
相_英語構文辞典,0.6666666666666667,0.6153846153846154,0.7246376811594201,0.7142857142857142,0.3243243243243244,0.11320754716981135,0.2285714285714291,0.1379310344827588,0.12121212121212117,0.06451612903225806
