,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
that節_英語構文辞典,0.627450980392157,0.5423728813559322,0.6588235294117646,0.6086956521739131,0.16548463356973983,0.1142857142857142,0.09999999999999991,0.05882352941176467,0.0,0.0
tough 構文_英語構文辞典,0.6863711001642036,0.6317567567567568,0.7625698324022347,0.7625698324022347,0.5714285714285715,0.11428571428571428,0.07228915662650591,0.06451612903225798,0.0,0.0
ニ重目的語構文_英語構文辞典,0.6940639269406392,0.5639810426540285,0.674698795180723,0.6339622641509434,0.3170731707317074,0.12903225806451613,0.3076923076923077,0.07017543859649113,0.0,0.0
不定詞節_英語構文辞典,0.6423357664233577,0.5714285714285715,0.6887417218543047,0.6341463414634146,0.4000000000000001,0.12903225806451613,0.21052631578947364,0.1818181818181818,0.0,0.0
中間態_英語構文辞典,0.5641025641025642,0.5641025641025642,0.609375,0.609375,0.3116883116883116,0.08163265306122446,0.22727272727272718,0.18181818181818177,0.0,0.0
主語・補語倒置_英語構文辞典,0.6507177033492824,0.5628140703517588,0.5396145610278372,0.5053078556263269,0.29629629629629634,0.10344827586206895,0.0,0.0,0.0,0.0
二次述語_英語構文辞典,0.5901639344262295,0.5217391304347825,0.5747126436781609,0.5345211581291759,0.0,0.0,0.26086956521739124,0.10869565217391296,0.0,0.0
付加疑問文_英語構文辞典,0.4716981132075472,0.3842482100238662,0.4272445820433436,0.37398373983739835,0.22360248447204967,0.100358422939068,0.108108108108108,0.057971014492753575,0.0,0.0
代名詞・再帰代名詞_英語構文辞典,0.0,0.0,0.7368421052631579,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
仮定法_英語構文辞典,0.6309751434034417,0.5817174515235457,0.6692759295499021,0.661082474226804,0.3353658536585365,0.1714285714285714,0.39069767441860465,0.24207492795389046,0.0,0.0
使役動詞_英語構文辞典,0.24866785079928946,0.1802426343154246,0.3293687099725525,0.288,0.16326530612244894,0.0,0.1492537313432835,0.03968253968253957,0.05128205128205124,0.02409638554216866
分詞構文_英語構文辞典,0.5626598465473146,0.5412371134020619,0.6461538461538462,0.5753424657534246,0.43243243243243235,0.17543859649122803,0.3333333333333333,0.12244897959183663,0.0,0.0
副詞_英語構文辞典,0.46333853354134175,0.36986301369863017,0.5387994143484627,0.4628930817610063,0.029850746268656556,0.027700831024930612,0.08191126279863473,0.048484848484848395,0.0,0.0
副詞節_英語構文辞典,0.7299270072992701,0.6903137789904502,0.7853658536585366,0.7351598173515982,0.1978021978021978,0.0,0.30769230769230765,0.12499999999999997,0.0,0.0
助動詞・法助動詞_英語構文辞典,0.4228187919463087,0.345679012345679,0.4079320113314448,0.39889196675900274,0.13333333333333333,0.046511627906976674,0.0,0.0,0.0,0.0
動名詞節_英語構文辞典,0.5609756097560975,0.4975417895771877,0.5814696485623003,0.5814696485623003,0.3191489361702128,0.07407407407407401,0.05063291139240494,0.04081632653061215,0.0,0.0
受動態_英語構文辞典,0.64,0.6015037593984961,0.5333333333333333,0.5042979942693409,0.5045045045045046,0.12195121951219508,0.12499999999999996,0.08888888888888886,0.0,0.0
叙実動詞_英語構文辞典,0.3021978021978022,0.25641025641025644,0.327485380116959,0.327485380116959,0.13793103448275865,0.05555555555555556,0.06451612903225806,0.03448275862068965,0.0,0.0
句・節の構造_英語構文辞典,0.6363636363636364,0.5393258426966291,0.6258823529411763,0.5263157894736843,0.3684210526315789,0.0,0.20833333333333334,0.14492753623188406,0.0,0.0
句動詞_英語構文辞典,0.0902255639097744,0.08633093525179845,0.09448818897637795,0.07947019867549657,0.0,0.0,0.1395348837209302,0.05504587155963298,0.0,0.0
同族目的語_英語構文辞典,0.497737556561086,0.4330708661417323,0.47302904564315346,0.456,0.3503649635036496,0.0833333333333333,0.3157894736842105,0.1612903225806451,0.0,0.0
否定倒置_英語構文辞典,0.671664167916042,0.6136986301369863,0.7477744807121662,0.7283236994219653,0.2816901408450704,0.1311475409836065,0.2352941176470588,0.09599999999999996,0.0,0.0
否定文_英語構文辞典,0.6428571428571429,0.5925925925925927,0.6792452830188679,0.6651270207852195,0.2666666666666666,0.0,0.35294117647058815,0.1818181818181818,0.0,0.0
命令文_英語構文辞典,0.5284450063211126,0.4636614535418583,0.538555096083678,0.5247689025835506,0.3754266211604096,0.030245746691871418,0.21960784313725484,0.06930693069306929,0.0,0.0
場所句倒置_英語構文辞典,0.686217008797654,0.6360856269113149,0.647410358565737,0.5667574931880109,0.42105263157894735,0.09302325581395347,0.2352941176470588,0.09708737864077667,0.0,0.0
場所格交替動詞_英語構文辞典,0.16107382550335572,0.1517241379310345,0.4242424242424242,0.40579710144927533,0.0,0.0,0.0,0.0,0.0,0.0
外置構文_英語構文辞典,0.6827586206896552,0.6082949308755761,0.6230910201588271,0.6166868198307134,0.3870967741935483,0.09638554216867465,0.16666666666666669,0.11267605633802817,0.0,0.0
多重wh疑問文_英語構文辞典,0.6209677419354838,0.4727272727272727,0.581787521079258,0.5211480362537764,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
存在構文_英語構文辞典,0.7093184979137691,0.5818181818181818,0.6304147465437788,0.5964912280701754,0.4907975460122699,0.13333333333333328,0.21818181818181812,0.144578313253012,0.0,0.0
寄生空所_英語構文辞典,0.5323193916349809,0.3835616438356164,0.5596868884540117,0.4571428571428571,0.2441860465116278,0.036363636363636286,0.17391304347826078,0.0727272727272727,0.0,0.0
小節_英語構文辞典,0.5538461538461538,0.43478260869565216,0.5082612116443744,0.47958426132145504,0.3278688524590164,0.0689655172413793,0.1558441558441558,0.07272727272727272,0.0,0.0
属格化_英語構文辞典,0.6071428571428571,0.5286343612334802,0.5576519916142558,0.5396145610278372,0.26315789473684215,0.07407407407407407,0.15789473684210528,0.07843137254901957,0.0,0.0
強調構文_英語構文辞典,0.32000000000000006,0.2913907284768212,0.3880597014925373,0.33591731266149866,0.0,0.0,0.19047619047619044,0.06557377049180327,0.0,0.0
心理動詞_英語構文辞典,0.4705882352941177,0.36363636363636365,0.4643799472295514,0.3720930232558139,0.1463414634146341,0.036363636363636334,0.2105263157894737,0.05333333333333333,0.0,0.0
感嘆文_英語構文辞典,0.22099447513812157,0.1846153846153846,0.3120260021668473,0.2975206611570248,0.053097345132743286,0.0,0.052631578947368356,0.03846153846153842,0.0,0.0
成句_英語構文辞典,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
挿入節_英語構文辞典,0.7163515016685207,0.6607734806629835,0.7727690892364306,0.7228915662650601,0.09950248756218902,0.0,0.0,0.0,0.0,0.0
擬似分裂文_英語構文辞典,0.5263157894736841,0.45454545454545453,0.5333333333333333,0.5161290322580644,0.6153846153846154,0.10256410256410255,0.19999999999999993,0.061538461538461514,0.0,0.0
数量詞の作用域_英語構文辞典,0.18681318681318673,0.18079096045197734,0.2828282828282828,0.2745098039215686,0.14814814814814808,0.033333333333333194,0.10810810810810807,0.05555555555555547,0.0,0.0
数量詞遊離_英語構文辞典,0.2885245901639344,0.28341384863123986,0.39155860666158143,0.3872265526778979,0.11160318866253316,0.0,0.09195402298850569,0.07384615384615384,0.0,0.0
比較構文_英語構文辞典,0.837914691943128,0.7985546522131888,0.8210526315789474,0.785234899328859,0.2962962962962963,0.15686274509803919,0.16326530612244897,0.10909090909090906,0.0,0.0
準助動詞_英語構文辞典,0.5538461538461538,0.46532438478747196,0.6763285024154588,0.626865671641791,0.0952380952380952,0.0526315789473684,0.33333333333333326,0.18518518518518515,0.0,0.0
疑問文_英語構文辞典,0.7096774193548387,0.6807131280388979,0.6985446985446986,0.6985446985446986,0.34782608695652173,0.10989010989010987,0.14814814814814808,0.08108108108108106,0.0,0.0
相_英語構文辞典,0.6491499227202473,0.5797101449275363,0.7290400972053462,0.6872852233676976,0.27906976744186046,0.05607476635514012,0.23300970873786406,0.1454545454545454,0.11428571428571427,0.04597701149425282
省略文_英語構文辞典,0.192,0.13872832369942192,0.5460750853242321,0.4481792717086834,0.0,0.0,0.0,0.0,0.0,0.0
