,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
受動態_英語構文辞典,0.6666666666666666,0.5,0.5714285714285714,0.5,0.7777777777777778,0.25,0.5,0.0625,0.0,0.0
中間態_英語構文辞典,0.6470588235294118,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.09090909090909091,0.6,0.2,0.0,0.0
tough 構文_英語構文辞典,0.6129032258064516,0.4722222222222222,0.5833333333333334,0.525,0.7647058823529411,0.18181818181818182,0.25,0.038461538461538464,0.3333333333333333,0.027777777777777776
ニ重目的語構文_英語構文辞典,0.5714285714285714,0.5,0.5714285714285714,0.5,0.4,0.125,0.5,0.2857142857142857,0.0,0.0
同族目的語_英語構文辞典,0.6111111111111112,0.6111111111111112,0.6,0.6,0.8571428571428571,0.2857142857142857,0.5555555555555556,0.25,0.0,0.0
存在構文_英語構文辞典,0.5483870967741935,0.47058823529411764,0.43902439024390244,0.3953488372093023,0.5714285714285714,0.10714285714285714,0.42857142857142855,0.09090909090909091,0.0,0.0
場所句倒置_英語構文辞典,0.5294117647058824,0.42857142857142855,0.43859649122807015,0.39344262295081966,0.5,0.058823529411764705,0.6,0.08064516129032258,0.0,0.0
否定倒置_英語構文辞典,0.3333333333333333,0.25925925925925924,0.3,0.25,0.18181818181818182,0.06451612903225806,0.3333333333333333,0.05263157894736842,0.0,0.0
主語・補語倒置_英語構文辞典,0.6666666666666666,0.5,0.5833333333333334,0.4375,0.4,0.07692307692307693,0.0,0.0,0.0,0.0
命令文_英語構文辞典,0.6111111111111112,0.525,0.5625,0.5510204081632653,0.7333333333333333,0.25,0.7777777777777778,0.22580645161290322,0.0,0.0
感嘆文_英語構文辞典,0.2962962962962963,0.20689655172413793,0.42105263157894735,0.34782608695652173,0.3333333333333333,0.0,0.3333333333333333,0.04878048780487805,0.0,0.0
疑問文_英語構文辞典,0.5116279069767442,0.4772727272727273,0.4772727272727273,0.40384615384615385,0.38095238095238093,0.13513513513513514,0.5,0.08108108108108109,0.0,0.0
多重wh疑問文_英語構文辞典,0.5238095238095238,0.3333333333333333,0.4791666666666667,0.3709677419354839,0.5,0.1388888888888889,0.36363636363636365,0.11428571428571428,0.0,0.0
付加疑問文_英語構文辞典,0.8064516129032258,0.7931034482758621,0.7931034482758621,0.696969696969697,0.9,0.30434782608695654,0.5,0.1,0.0,0.0
否定文_英語構文辞典,0.2903225806451613,0.2222222222222222,0.2647058823529412,0.2571428571428571,0.16666666666666666,0.029411764705882353,0.375,0.06976744186046512,0.2,0.024390243902439025
強調構文_英語構文辞典,0.5,0.4074074074074074,0.4642857142857143,0.4642857142857143,0.375,0.05555555555555555,0.2857142857142857,0.07692307692307693,0.0,0.0
擬似分裂文_英語構文辞典,0.47058823529411764,0.47058823529411764,0.36363636363636365,0.34782608695652173,0.4444444444444444,0.07142857142857142,0.25,0.09523809523809523,0.0,0.0
繰上げ構文_英語構文辞典,0.20833333333333334,0.1724137931034483,0.20588235294117646,0.20588235294117646,0.2222222222222222,0.0625,0.09090909090909091,0.02631578947368421,0.0,0.0
話題化_英語構文辞典,0.5,0.42105263157894735,0.48717948717948717,0.40540540540540543,0.7,0.17857142857142858,0.625,0.1724137931034483,0.0,0.0
転位構文_英語構文辞典,0.047619047619047616,0.045454545454545456,0.05,0.041666666666666664,0.0,0.0,0.2,0.037037037037037035,0.0,0.0
小節_英語構文辞典,0.45454545454545453,0.35714285714285715,0.34545454545454546,0.3275862068965517,0.42105263157894735,0.05263157894736842,0.42857142857142855,0.11904761904761904,0.0,0.0
that節_英語構文辞典,0.7111111111111111,0.5925925925925926,0.6885245901639344,0.65625,0.625,0.10256410256410256,0.3333333333333333,0.06521739130434782,0.0,0.0
間接疑問文_英語構文辞典,0.6,0.5714285714285714,0.6666666666666666,0.64,1.0,0.0,0.75,0.15,0.0,0.0
関係節_英語構文辞典,0.5205479452054794,0.4235294117647059,0.45555555555555555,0.43617021276595747,0.625,0.01639344262295082,0.3076923076923077,0.043478260869565216,0.0,0.0
比較構文_英語構文辞典,0.5909090909090909,0.5652173913043478,0.5652173913043478,0.4642857142857143,0.5,0.09523809523809523,0.3333333333333333,0.07142857142857142,0.75,0.07142857142857142
副詞節_英語構文辞典,0.41379310344827586,0.3142857142857143,0.3684210526315789,0.34146341463414637,0.2222222222222222,0.0,0.2857142857142857,0.061224489795918366,0.0,0.0
譲歩節_英語構文辞典,0.55,0.5116279069767442,0.4918032786885246,0.4838709677419355,0.8571428571428571,0.09302325581395349,0.5,0.12903225806451613,0.0,0.0
挿入節_英語構文辞典,0.5384615384615384,0.4482758620689655,0.46875,0.39473684210526316,0.3333333333333333,0.0,0.0,0.0,1.0,0.023809523809523808
仮定法_英語構文辞典,0.6818181818181818,0.5,0.5277777777777778,0.5,0.8333333333333334,0.13636363636363635,0.6666666666666666,0.16216216216216217,1.0,0.022727272727272728
等位構造_英語構文辞典,0.5384615384615384,0.4,0.5416666666666666,0.5,0.5384615384615384,0.027777777777777776,0.5,0.11764705882352941,0.0,0.0
外置構文_英語構文辞典,0.43902439024390244,0.30612244897959184,0.3469387755102041,0.32075471698113206,0.2777777777777778,0.05263157894736842,0.10526315789473684,0.0425531914893617,0.0,0.0
重名詞句転位_英語構文辞典,0.4722222222222222,0.39473684210526316,0.4634146341463415,0.43902439024390244,0.38461538461538464,0.14285714285714285,0.375,0.06451612903225806,0.0,0.0
二次述語_英語構文辞典,0.2,0.18181818181818182,0.25,0.20833333333333334,0.0,0.0,0.3333333333333333,0.043478260869565216,0.0,0.0
寄生空所_英語構文辞典,0.3448275862068966,0.25,0.3142857142857143,0.23529411764705882,0.21428571428571427,0.03571428571428571,0.2,0.030303030303030304,0.0,0.0
省略文_英語構文辞典,0.3076923076923077,0.27906976744186046,0.3137254901960784,0.2857142857142857,0.11538461538461539,0.022727272727272728,0.1111111111111111,0.043478260869565216,0.0,0.0
不定詞節_英語構文辞典,0.8461538461538461,0.7692307692307693,0.8125,0.8125,0.8571428571428571,0.3333333333333333,1.0,0.16666666666666666,0.0,0.0
動名詞節_英語構文辞典,0.696969696969697,0.6388888888888888,0.7567567567567568,0.6666666666666666,0.9090909090909091,0.15384615384615385,0.25,0.037037037037037035,0.0,0.0
分詞構文_英語構文辞典,0.35714285714285715,0.29411764705882354,0.36363636363636365,0.34782608695652173,0.8,0.08695652173913043,0.16666666666666666,0.03508771929824561,0.0,0.0
属格化_英語構文辞典,0.2698412698412698,0.24615384615384617,0.28,0.2641509433962264,0.15384615384615385,0.018867924528301886,0.08695652173913043,0.034482758620689655,0.0,0.0
能格動詞・非対格動詞・非能格動詞_英語構文辞典,0.18461538461538463,0.18045112781954886,0.2517985611510791,0.24822695035460993,0.09278350515463918,0.03571428571428571,0.06451612903225806,0.048,0.022727272727272728,0.015873015873015872
知覚動詞_英語構文辞典,0.8947368421052632,0.8095238095238095,0.8571428571428571,0.782608695652174,0.8,0.2222222222222222,0.8,0.13636363636363635,0.0,0.0
使役動詞_英語構文辞典,0.6666666666666666,0.52,0.625,0.5454545454545454,0.5,0.05263157894736842,0.45454545454545453,0.14285714285714285,1.0,0.043478260869565216
叙実動詞_英語構文辞典,0.6111111111111112,0.5882352941176471,0.6153846153846154,0.6153846153846154,0.4,0.07692307692307693,0.14285714285714285,0.0625,0.0,0.0
心理動詞_英語構文辞典,0.5882352941176471,0.5,0.631578947368421,0.5714285714285714,0.42857142857142855,0.038461538461538464,0.75,0.15384615384615385,0.3333333333333333,0.034482758620689655
場所格交替動詞_英語構文辞典,0.1111111111111111,0.07692307692307693,0.38461538461538464,0.29411764705882354,0.0,0.0,0.0,0.0,0.5,0.08333333333333333
句動詞_英語構文辞典,0.5106382978723404,0.5,0.5333333333333333,0.4897959183673469,0.5555555555555556,0.09375,0.375,0.08823529411764706,0.25,0.02702702702702703
成句_英語構文辞典,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
