,gpt-4o,gpt-4o,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,gpt-5-2025-08-07,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07
,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict,compared,compared_strict
構文種_出典,,,,,,,,,,
that節_英語構文辞典,0.5925925925925926,0.5925925925925926,0.7777777777777778,0.7777777777777778,0.09259259259259259,0.07407407407407407,0.05555555555555555,0.05555555555555555,0.0,0.0
tough 構文_英語構文辞典,0.7307692307692307,0.6538461538461539,0.8076923076923077,0.8076923076923077,0.5,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
ニ重目的語構文_英語構文辞典,0.8,0.7,0.8,0.8,0.2,0.1,0.4,0.4,0.0,0.0
不定詞節_英語構文辞典,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.4,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0
中間態_英語構文辞典,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.19047619047619047,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.0,0.0
主語・補語倒置_英語構文辞典,0.8,0.7,0.7,0.7,0.2,0.1,0.0,0.0,0.0,0.0
二次述語_英語構文辞典,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
付加疑問文_英語構文辞典,0.8064516129032258,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.2903225806451613,0.22580645161290322,0.06451612903225806,0.06451612903225806,0.0,0.0
代名詞・再帰代名詞_英語構文辞典,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
仮定法_英語構文辞典,0.6521739130434783,0.6521739130434783,0.8260869565217391,0.8260869565217391,0.21739130434782608,0.13043478260869565,0.2608695652173913,0.2608695652173913,0.043478260869565216,0.043478260869565216
使役動詞_英語構文辞典,0.3783783783783784,0.35135135135135137,0.5405405405405406,0.4864864864864865,0.10810810810810811,0.02702702702702703,0.13513513513513514,0.13513513513513514,0.02702702702702703,0.02702702702702703
分詞構文_英語構文辞典,0.625,0.625,1.0,1.0,0.5,0.25,0.25,0.25,0.0,0.0
副詞_英語構文辞典,0.4153846153846154,0.4153846153846154,0.6153846153846154,0.6153846153846154,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.03076923076923077,0.015384615384615385,0.015384615384615385
副詞節_英語構文辞典,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0
助動詞・法助動詞_英語構文辞典,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
動名詞節_英語構文辞典,0.6388888888888888,0.6388888888888888,0.7777777777777778,0.7777777777777778,0.2777777777777778,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.0,0.0
受動態_英語構文辞典,1.0,0.8333333333333334,1.0,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.0,0.0
叙実動詞_英語構文辞典,0.55,0.5,0.8,0.8,0.1,0.05,0.05,0.05,0.0,0.0
句・節の構造_英語構文辞典,0.875,0.75,0.875,0.75,0.25,0.0,0.125,0.125,0.0,0.0
句動詞_英語構文辞典,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.17857142857142858,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571
同族目的語_英語構文辞典,0.55,0.55,0.75,0.75,0.3,0.2,0.25,0.25,0.0,0.0
否定倒置_英語構文辞典,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0
否定文_英語構文辞典,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693
命令文_英語構文辞典,0.5365853658536586,0.5121951219512195,0.6585365853658537,0.6585365853658537,0.2682926829268293,0.1951219512195122,0.17073170731707318,0.17073170731707318,0.0,0.0
場所句倒置_英語構文辞典,0.8181818181818182,0.7272727272727273,0.7575757575757576,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.15151515151515152,0.0,0.0
場所格交替動詞_英語構文辞典,0.1,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.1,0.1
外置構文_英語構文辞典,0.9,0.75,0.85,0.85,0.25,0.1,0.1,0.1,0.0,0.0
多重wh疑問文_英語構文辞典,0.7333333333333333,0.5,0.7666666666666667,0.7666666666666667,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.0,0.0
存在構文_英語構文辞典,0.7391304347826086,0.6956521739130435,0.782608695652174,0.7391304347826086,0.34782608695652173,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.0,0.0
寄生空所_英語構文辞典,0.5263157894736842,0.3684210526315789,0.5789473684210527,0.42105263157894735,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0
小節_英語構文辞典,0.75,0.75,0.95,0.95,0.4,0.1,0.3,0.25,0.0,0.0
属格化_英語構文辞典,0.85,0.8,0.7,0.7,0.2,0.05,0.1,0.1,0.0,0.0
強調構文_英語構文辞典,0.8,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0
心理動詞_英語構文辞典,0.7407407407407407,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.037037037037037035,0.037037037037037035
感嘆文_英語構文辞典,0.1724137931034483,0.13793103448275862,0.3103448275862069,0.3103448275862069,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
挿入節_英語構文辞典,0.7368421052631579,0.6842105263157895,0.7894736842105263,0.7894736842105263,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842
擬似分裂文_英語構文辞典,1.0,1.0,1.0,1.0,0.5,0.125,0.25,0.25,0.0,0.0
数量詞の作用域_英語構文辞典,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
数量詞遊離_英語構文辞典,0.66,0.66,0.88,0.88,0.14,0.0,0.16,0.16,0.0,0.0
比較構文_英語構文辞典,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.18181818181818182,0.12121212121212122,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
準助動詞_英語構文辞典,0.47368421052631576,0.42105263157894735,0.7368421052631579,0.7368421052631579,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.0,0.0
疑問文_英語構文辞典,0.8461538461538461,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.3076923076923077,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.0,0.0
相_英語構文辞典,0.7241379310344828,0.6896551724137931,0.8620689655172413,0.8620689655172413,0.20689655172413793,0.10344827586206896,0.13793103448275862,0.13793103448275862,0.06896551724137931,0.06896551724137931
省略文_英語構文辞典,0.7058823529411765,0.7058823529411765,0.9411764705882353,0.9411764705882353,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.0,0.0
知覚動詞_英語構文辞典,0.4722222222222222,0.4722222222222222,0.5,0.5,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.0,0.0
等位構造_英語構文辞典,0.6363636363636364,0.5454545454545454,0.7878787878787878,0.7575757575757576,0.21212121212121213,0.030303030303030304,0.18181818181818182,0.18181818181818182,0.0,0.0
統語操作の制約_英語構文辞典,0.7916666666666666,0.75,0.8333333333333334,0.8333333333333334,0.3958333333333333,0.20833333333333334,0.25,0.20833333333333334,0.0,0.0
繰上げ構文_英語構文辞典,0.7142857142857143,0.7142857142857143,1.0,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0
